Gene,Protein,Location,Methodology
AT1G61070,ATROPGEF9,,
AT1G18260,ROPGEF9,,
AT4G00230,UKL5,,
AT4G00231,ROC7,,
AT4G00540,RRA2,,
AT3G24770,bHLH121,,
AT4G20210,ATVDAC1,,
AT3G02515,VDAC1,,
AT3G16580,SEC3A,,
AT3G24830,XBCP3,,
AT4G00238,ATORC5,,
AT3G06100,EMB2798,,
AT2G39940,ORC5,,
AT1G14560,SAUR75,,
AT1G13030,UMAMIT22,,
AT1G17060,ADL6,,
AT3G08770,DRP2A,,
AT3G03930,UGT76C1,,
AT5G51590,CYP71A12,,
AT3G11720,ANAC053,,
AT1G05260,NAC053,,
AT5G02260,NTL4,,
AT3G04650,AtPFA-DSP5,,
AT1G72790,PFA-DSP5,,
AT1G69588,GLX2-2,,
AT3G20670,GLY2,,
AT5G43360,SUVH1,,
AT4G00270,ADF1,,
AT3G63340,atadf,,
AT5G39930,ATADF1,,
AT2G01918,TRNY.3,,
AT1G52880,DMS4,,
AT4G27080,RDM4,,
AT3G22360,AGL29,,
AT2G36020,pEARLI4,,
AT1G77120,emb1220,,
AT1G12920,PLA IVD,,
AT4G32060,PLP8,,
AT2G27490,AGL8,,
AT1G49820,FUL,,
AT1G80700,GATA18,,
AT1G59500,HAN,,
AT3G23180,MNP,,
AT1G18400,EC1.4,,
AT5G10840,PRA1.G2,,
AT4G36990,AtRLP22,,
AT5G10330,RLP22,,
AT3G47870,ATEXP11,,
AT1G30100,ATEXPA11,,
AT1G13250,ATHEXP ALPHA 1.14,,
AT5G05620,EXP11,,
AT2G33290,EXPA11,,
AT5G17640,LCR21,,
AT1G48440,5-FCL,,
AT5G63960,ATCDC6,,
AT3G51870,CDC6,,
AT4G30930,ATEXLA1,,
AT4G30935,ATEXPL1,,
AT1G80440,ATHEXP BETA 2.1,,
AT4G16450,EXLA1,,
AT5G44500,EXPL1,,
AT5G02810,ABO5,,
AT5G18920,ASL5,,
AT2G18740,LBD12,,
AT5G24350,PCK1,,
AT1G55330,IQD27,,
AT4G36190,ATGID1C,,
AT2G22780,GID1C,,
AT1G55620,ELF9,,
AT4G36195,ATMYB3R5,,
AT1G03830,MYB3R-5,,
AT4G23740,OLI2,,
AT2G40540,TRM26,,
AT2G39570,RAP2.4,,
AT1G22170,WIND1,,
AT2G47040,ABCC13,,
AT5G20630,ATMRP11,,
AT5G20635,MRP11,,
AT5G61520,TAF2,,
AT4G02790,GPDHp,,
AT5G17460,EDA38,,
AT5G20180,SBP2,,
AT1G12250,ADC2,,
AT5G40430,ATADC2,,
AT1G67430,SPE2,,
AT3G54620,TBL10,,
AT1G53050,BRU1,,
AT4G32470,MGO3,,
AT5G21326,TSK,,
AT5G56180,ORF111A,,
AT1G23170,scpl14,,
AT1G31812,GATA21,,
AT1G31810,GNC,,
AT1G31817,PSD,,
AT5G48870,AtFKGP,,
AT4G29590,FKGP,,
AT1G31814,SMXL7,,
AT1G76290,TBL2,,
AT1G76520,DGR2,,
AT5G17010,ATMIXTA,,
AT3G10090,ATMYB16,,
AT5G51120,MYB16,,
AT5G59220,AtEML2,,
AT2G31250,EML2,,
AT2G03340,JAZ9,,
AT5G20980,TIFY7,,
AT1G12780,PMDH2,,
AT5G58450,QPT,,
AT1G16000,CLE7,,
AT4G02570,CLE4,,
AT1G29880,AGL75,,
AT1G23280,AtCLE6,,
AT3G61780,CLE6,,
AT5G60920,MIR842A,,
AT4G17270,MIR846A,,
AT2G37290,KELP,,
AT5G07660,KCS21,,
AT1G03550,AtZIP12,,
AT3G15110,ZIP12,,
AT5G61030,RPL16A,,
AT1G54570,RGP5,,
AT5G01100,RGP5,,
AT1G51500,ATMVD1,,
AT4G21480,MVD1,,
AT2G30240,ATMYB30,,
AT2G30710,MYB30,,
AT5G16190,TSBtype2,,
AT3G10540,ATMPK4,,
AT5G16440,MAPK4,,
AT1G50670,MPK4,,
AT5G02100,ABCG19,,
AT5G01800,ATWBC19,,
AT2G31350,WBC19,,
AT2G20920,RANGAP2,,
AT3G01790,MOM,,
AT4G29840,MOM,,
ATMG01410,MOM1,,
AT5G42260,EXL4,,
AT1G80740,CP24,,
AT2G17770,LHCB6,,
AT2G41830,RIK,,
AT5G44730,ATSRA1,,
AT5G13010,KLK,,
AT5G05580,PIR,,
AT4G34131,PIR121,,
AT4G21660,PIRP,,
AT1G20480,SRA1,,
AT5G26670,ADCS,,
AT4G12730,emb1997,,
AT1G34190,LOG5,,
AT3G06510,AtTLP2,,
AT3G55000,TLP2,,
AT1G23820,CCB1,,
AT3G52960,EMA1,,
AT5G43960,SAD2,,
AT4G37800,URM9,,
AT1G69870,MEE48,,
AT1G64640,GR-RBP6,,
AT2G22970,ATLAC1,,
AT3G61190,LAC1,,
AT1G70290,SAH7,,
AT3G61440,ADS1,,
AT1G11520,SDH1-1,,
AT1G11250,ATCOX6B2,,
AT3G01420,COX6B,,
AT1G70170,SAY1,,
AT5G67190,ATHMA3,,
AT2G36420,HMA3,,
AT4G09180,MIR319,,
AT5G22800,MIR319B,,
AT1G74600,CSI1,,
AT2G42560,POM2,,
AT2G38070,CEP3,,
AT5G04410,BBX19,,
AT1G65670,ARI14,,
AT5G38710,ATARI14,,
AT1G71210,PDF2,,
AT2G42160,AGF2,,
AT1G15570,AHL15,,
AT5G09620,ATXLG1,,
AT4G01080,XLG1,,
AT5G37720,JMJ20,,
AT5G58310,ANAC037,,
AT3G17040,VND1,,
AT3G61220,CRK41,,
AT3G17510,PGL4,,
AT3G61990,ATHB-4,,
AT1G78590,ATHB4,,
AT4G13890,HB4,,
AT4G20040,ATFD3,,
AT2G44920,FD3,,
AT4G14811,ROT3,,
AT5G35700,KMS1,,
AT2G31040,AOX1D,,
AT4G38780,CRK12,,
AT3G02210,ATSCAR-LIKE,,
AT1G52740,SCARL,,
AT1G79180,WAVE5,,
AT4G28660,CESA09,,
AT3G53560,CESA9,,
AT5G38570,CRF10,,
AT5G14380,SGT,,
AT3G12490,UGT80A2,,
AT4G28710,MIR157B,,
AT4G35870,ELO1,,
AT4G30340,SAG201,,
AT2G33570,SAUR36,,
AT2G26690,P4H13,,
AT5G16990,AtPAT10,,
AT5G12940,PAT10,,
AT2G28840,ATPTR1,,
AT3G47440,PTR1,,
AT5G09950,VPS20.1,,
AT1G15310,ATTOC33,,
AT5G11920,PPI1,,
AT1G80930,TOC33,,
AT5G15750,AtWRKY12,,
AT2G40765,WRKY12,,
AT5G18100,CYP81G1,,
AT2G18245,CYCP4;1,,
AT2G28590,CYP76C5,,
AT3G55210,RAP2.7,,
AT3G44720,TOE1,,
AT2G28355,EXL6,,
AT5G22770,SNOR108,,
AT4G26910,IQD22,,
AT2G28700,AGL95,,
AT1G18670,CYP79A3P,,
AT5G22140,ATROPGEF8,,
AT2G24120,ROPGEF8,,
AT1G22410,ATATX1,,
AT5G03720,ATX1,,
AT5G57190,ABCG21,,
AT5G44610,KOM,,
AT3G27890,ATSNX1,,
AT3G28660,SNX1,,
AT5G66720,ASHR1,,
AT2G29420,SDG37,,
AT2G45030,PFK5,,
AT4G30160,IAA6,,
AT4G30690,SHY1,,
AT4G01550,UKL2,,
ATMG00420,ATRPABC16.5,,
AT4G24390,NRPB8A,,
AT1G05890,NRPE8A,,
AT5G54490,UGT71B6,,
AT1G72520,ATU2AF35A,,
AT1G24100,LAX1,,
AT4G16730,ATUBC11,,
AT4G31560,UBC11,,
AT5G56640,ATEXPB5,,
ATCG00560,ATHEXP BETA 1.3,,
AT4G00680,EXPB5,,
AT2G18020,AtTLP18.3,,
AT4G32180,TLP18.3,,
AT2G16770,MSL3,,
AT2G15350,SKU6,,
AT5G67570,SPR1,,
AT3G26812,ATSYP61,,
AT2G13800,OSM1,,
AT5G53170,SYP61,,
AT2G47300,ATCYS1,,
AT3G19553,CYS1,,
AT5G57330,ATERS,,
AT4G05210,ERS,,
AT5G57440,OVA3,,
AT4G36690,AR192,,
AT1G04410,MGE2,,
AT5G08530,CID7,,
AT4G24210,AHL3,,
AT2G19990,IMPL1,,
AT4G23240,SDP1-LIKE,,
AT4G18640,TAF11b,,
AT5G19850,LIL3:1,,
AT5G60210,ATMSRB7,,
AT5G19855,MSRB7,,
AT3G07060,ACD6,,
AT3G03030,ASK12,,
AT1G43170,SK12,,
AT3G11910,DEG6,,
AT1G72290,DegP6,,
AT2G45250,PXY,,
AT5G40950,TDR,,
AT3G22110,ATMGD3,,
AT1G19670,MGD3,,
ATMG00850,MGDC,,
AT5G41880,WRI4,,
AT4G01330,MTP5,,
AT4G01883,ACBP2,,
AT4G09550,AtACBP2,,
AT2G23120,AZF3,,
AT5G50870,ZF3,,
AT4G00260,AIG2L,,
AT2G01860,TRM22,,
AT1G14040,CYP708 A2,,
AT1G69270,CYP708A2,,
AT3G23570,THAH,,
AT4G00060,THAH1,,
AT2G21610,ATCES1,,
AT4G18700,ABE1,,
AT2G24820,ATMES6,,
AT2G37500,MES6,,
AT2G30870,ATECA4,,
AT1G66280,ECA4,,
AT3G48930,LBD1,,
AT3G06360,ATPSKR1,,
AT1G25210,PSKR1,,
AT5G27720,U49.1,,
AT3G25660,hda17,,
AT4G30067,ATPEN3,,
AT2G33990,PEN3,,
AT1G48830,PTEN2B,,
AT5G17810,PSAF,,
AT2G23310,TUB4,,
AT1G53590,AtNOB1,,
AT5G63770,NOB1,,
AT2G03170,ATPXG2,,
AT3G23790,ORF215B,,
AT1G18890,AtTic20-V,,
AT2G34970,Tic20-V,,
AT4G36030,AtCDC20.2,,
AT3G10720,CDC20.2,,
AT2G25410,A/N-InvF,,
AT3G46640,ALDH5F1,,
AT1G55290,ENF1,,
AT5G25760,SSADH,,
AT2G17820,SSADH1,,
AT1G09390,AAE1,,
AT1G03445,RBCL,,
AT5G10450,ATHM2,,
AT4G17460,PDE320,,
AT3G07680,TGD4,,
AT4G33630,ATPME26,,
AT1G02475,ATPMEPCRC,,
AT5G61730,PME26,,
AT1G54210,ATPUP1,,
AT4G15640,PUP1,,
AT2G35620,ATSRP3,,
AT2G03640,SRP3,,
AT4G19112,ATCHX27,,
AT1G01620,CHX27,,
AT1G62610,ATHSP22.0,,
AT4G22115,MIR404,,
AT1G67220,EBS3,,
AT5G63595,BTI2,,
AT2G04690,RTNLB2,,
AT4G27430,TAR1,,
AT4G16590,AtSLP1,,
AT5G41600,SLP1,,
AT1G32100,AGL101,,
AT3G09300,CYCP4;3,,
AT1G69640,AtGDPD3,,
AT5G60020,GDPD3,,
AT5G41950,PFN3,,
AT1G64750,PRF3,,
AT3G57100,HLL,,
AT4G29430,ATRBL3,,
AT4G29120,RBL3,,
AT2G47520,CYP709B2,,
AT5G41992,ATEXO70C2,,
AT2G47250,EXO70C2,,
AT4G25360,IAA9,,
AT3G50480,ATPRFB,,
AT5G10500,HCF109,,
ATCG00905,ATRGTA1,,
AT1G63710,RGTA1,,
AT5G13220,PP2CG1,,
ATCG00900,AtRLP31,,
AT1G51190,RLP31,,
AT1G55370,ATMAK3,,
AT1G79740,PDTPI,,
AT4G21870,TIM,,
ATMG01070,UGT76D1,,
AT5G44920,HSP17.6II,,
AT5G51400,ATSMO1-2,,
AT2G24070,SMO1-2,,
AT2G46650,MUG3,,
AT2G03420,GCD1,,
AT1G06010,CYP81D2,,
AT2G33370,HCF106,,
AT5G39570,AtERF53,,
AT3G04080,ERF53,,
AT2G46870,ACD,,
AT3G01740,ALATS,,
AT1G67080,SADHU3-1,,
AT1G49120,ACS1,,
AT1G78830,AT-ACS1,,
AT3G24340,RIPK,,
AT3G04610,CYP97C1,,
AT5G07270,LUT1,,
AT5G34853,PSAT,,
AT3G21630,OTP81,,
AT3G05350,ULI3,,
AT5G57850,LYM3,,
AT5G44380,LYP3,,
AT4G03560,ATPAP18,,
AT5G55200,PAP18,,
AT1G09970,CI76,,
AT3G24220,EMB1467,,
AT1G79400,ATVDAC2,,
AT5G01820,VDAC2,,
AT5G51040,DRP4B,,
AT5G61190,ATRL6,,
AT5G07842,RL6,,
AT5G58950,RSM3,,
AT1G71170,ATGPX3,,
AT1G28270,GPX3,,
AT1G16490,HVA22G,,
AT3G04880,AtbZIP63,,
AT4G02960,BZO2H3,,
AT5G22640,EMB2786,,
AT5G35670,EBF1,,
AT1G47490,FBL6,,
AT2G31830,SP1L1,,
AT3G60840,ATSUS2,,
AT2G27110,SSA,,
AT2G02590,SUS2,,
AT1G26880,FYD,,
AT5G13480,MAPKKK16,,
AT2G40810,AXR5,,
AT1G57590,IAA1,,
AT4G20020,ATPAP15,,
AT4G28520,PAP15,,
AT5G45520,ATCYTC-A,,
AT3G51300,CYTC-1,,
AT1G52510,ABCC1,,
AT3G53350,ATABCC1,,
ATCG00980,ATMRP1,,
AT1G30680,EST1,,
AT1G54960,MRP1,,
AT2G15050,ATBXL2,,
AT2G01850,BXL2,,
AT2G33740,NAD4,,
AT3G54810,AtErv1,,
AT1G11460,EMB3106,,
AT5G16050,Erv1,,
AT3G50510,ATATG8E,,
AT1G45000,ATG8E,,
AT4G37630,TRNQ,,
AT1G50240,APUM25,,
AT5G62940,PUM25,,
AT5G49010,LHCA2*1,,
AT2G43570,Lhca6,,
AT2G29140,ATHAP2C,,
AT4G13610,HAP2C,,
AT3G07980,NF-YA3,,
AT4G37320,ATTPPA,,
AT4G13345,TPPA,,
AT1G64280,BIK1,,
AT5G52460,AtMYB20,,
AT1G66560,MYB20,,
AT4G26470,DAFL1,,
AT1G07630,iPGAM1,,
AT4G14695,TRNA LYS,,
AT1G62400,TRNK,,
AT5G26110,TRNK-UUU,,
AT2G45410,AtRAD21.1,,
AT1G27820,SYN2,,
AT1G20830,UBC31,,
AT5G45380,SEC5A,,
AT1G65620,SAMDC,,
AT3G06300,BHLH101,,
AT4G04350,ATMAPK3,,
AT4G21120,ATMPK3,,
AT5G54400,MPK3,,
AT4G24180,SMG7,,
AT5G40160,AtCAF1b,,
AT4G12960,CAF1b,,
AT3G53170,ASK17,,
AT5G08050,MEO,,
AT2G26990,ATPDI12,,
AT1G06900,ATPDIL5-3,,
AT1G60050,PDI12,,
AT1G60500,PDIL5-3,,
AT3G20540,ISI1,,
ATMG00630,AtbZIP5,,
AT1G68870,bZIP5,,
AT3G52880,ATKAO1,,
AT1G08080,CYP88A3,,
AT3G16770,KAO1,,
AT3G61050,ATH4,,
AT1G75210,ATTRX4,,
AT3G23890,ATPME2,,
AT2G37080,PME2,,
AT5G60880,AtSDR4,,
AT3G28870,SDR4,,
AT1G66960,ATBZIP12,,
AT3G12530,DPBF4,,
AT1G74030,EEL,,
AT5G52800,AOP,,
AT2G38680,AOP1,,
AT1G79550,AOP1.1,,
AT2G37460,TINY2,,
AT2G30500,PPD2,,
AT4G39955,TIFY4B,,
AT5G01510,GDU1,,
AT3G20020,AtTLP4,,
AT4G39950,TLP4,,
AT3G51160,ORF111B,,
AT5G53450,ATFH,,
AT2G30050,FH,,
AT1G19440,EMB3137,,
AT1G15140,ATGA2OX4,,
AT1G19110,GA2OX4,,
AT2G20260,SCRL22,,
AT2G31450,ATCNGC16,,
AT5G11880,CNGC16,,
AT5G15500,APK2A,,
AT4G34670,Kin1,,
AT4G34850,PBL2,,
AT2G38530,ABCI10,,
AT1G08000,ATNAP13,,
AT5G04190,EMB2751,,
AT3G45600,ATGLR1.2,,
AT1G06710,GLR1.2,,
AT5G19990,PYRD,,
AT4G39040,BGLU33,,
AT4G35090,ARF8,,
AT3G24010,ATARF8,,
AT4G15345,CIPK9,,
AT3G48580,PKS6,,
AT1G01360,SnRK3.12,,
AT3G63060,ATWNK5,,
AT3G25490,WNK5,,
AT5G19440,ZIK1,,
AT3G59940,APUM22,,
AT2G20120,PUM22,,
AT3G49725,NDHC,,
AT4G31770,ASL39,,
AT3G49720,LBD37,,
AT2G39920,3BETAHSD/D1,,
AT2G39480,AT3BETAHSD/D1,,
AT4G20450,SAMBA,,
AT1G64960,HSC70-5,,
AT4G15080,MTHSC70-2,,
AT2G28100,BAM3,,
AT4G19020,AtMYB85,,
AT5G49150,MYB85,,
AT1G61670,ATPF,,
AT1G61900,BEE3,,
AT2G18900,RPL33,,
AT1G04620,ATGER1,,
AT5G22340,GER1,,
AT5G04480,GLP1,,
AT4G10640,PBF1,,
AT4G11110,LCR37,,
AT3G07470,ATRRP4,,
AT3G16550,RRP4,,
AT3G48050,SULTR1;3,,
AT1G08360,AtHsp70-14,,
AT1G21870,HSP91,,
AT3G22560,TPR9,,
AT2G20690,ATSGT1B,,
AT1G01100,EDM1,,
AT1G69070,ETA3,,
AT3G17700,RPR1,,
AT2G36590,SGT1B,,
AT3G26670,ATCBL9,,
AT5G26930,CBL9,,
AT3G02530,ATTIP2;3,,
ATMG01275,DELTA-TIP3,,
ATMG01270,TIP2;3,,
AT4G20980,ATPGMP,,
AT1G69770,PGM,,
AT1G14540,PGM1,,
AT1G18790,STF1,,
ATCG00170,ATPEX5,,
AT5G14100,EMB2790,,
AT3G16250,PEX5,,
AT5G10130,AT-HSFA6B,,
AT3G24810,HSFA6B,,
AT3G13770,PHT1;6,,
AT3G07210,PHT6,,
AT1G43780,ANX1,,
AT5G17480,AtLARP1c,,
AT3G11700,LARP1c,,
AT3G49180,POLGAMMA2,,
AT2G23760,PolIA,,
AT1G76560,EMB3114,,
AT4G30100,GAPA-2,,
AT3G13990,ATMT-1,,
AT4G16690,ATMT-K,,
AT4G16695,MT2A,,
AT1G75470,UMAMIT42,,
AT4G32040,KNATM,,
AT2G27470,CW7,,
AT2G36610,AHA10,,
AT1G44835,PMP,,
AT1G80760,SRO4,,
AT1G78620,ACR1,,
AT4G14830,AtPUB4,,
AT3G55020,PUB4,,
AT3G53000,CLC3,,
AT3G02170,LBD38,,
AT1G22990,AST12,,
AT4G23180,SULTR3;1,,
AT1G47330,ATPPCK2,,
AT1G48310,PEPCK2,,
AT5G62120,PPCK2,,
AT5G54770,ATXR6,,
AT4G15920,SDG34,,
AT1G58380,TAPX,,
AT4G30910,GLI1,,
AT1G79610,NHO1,,
AT2G38995,WIP4,,
AT2G13820,ATSEB1,,
AT1G22380,COBL7,,
AT2G36100,SEB1,,
AT5G18900,ATMYB95,,
AT1G32860,ATMYBCP66,,
AT1G02450,MYB95,,
AT1G02100,ALG12,,
AT1G80420,EBS4,,
AT2G44440,ANAC040,,
AT4G26110,NTL8,,
AT1G35660,ZOP1,,
AT1G55600,HAP1,,
AT3G46980,MAGO,,
AT1G55350,MEE63,,
AT1G75850,AtRABH1a,,
AT2G05752,RABH1a,,
AT4G23980,At-SCL33,,
AT2G47060,ATSCL33,,
AT5G26830,SCL33,,
AT1G33990,SR33,,
ATCG01220,AALP,,
AT1G62960,ALP,,
AT3G03950,SAG2,,
AT3G60860,UPL1,,
AT4G23760,CGA1,,
AT4G27600,GATA22,,
AT4G02770,GNL,,
AT2G46330,TRM31,,
AT1G12270,ATEXO70E2,,
AT3G51140,EXO70E2,,
AT1G67140,ARF12,,
AT1G16790,AGL70,,
AT3G09440,FCL3,,
AT4G37130,MAF3,,
AT1G80390,ATPAP14,,
ATMG00380,PAP14,,
AT5G06860,ATOFP5,,
AT1G26470,OFP5,,
AT4G19600,PHYLLO,,
AT5G52250,CYP705A17P,,
AT5G48850,CYP705A15,,
AT3G46180,ATHY2,,
AT2G15570,GUN3,,
AT1G09700,HY2,,
AT5G25390,ATCAF2,,
AT5G27660,CAF2,,
AT1G53860,ANY1,,
AT3G27230,AtCESA1,,
AT3G47850,CESA1,,
AT1G17950,RSW1,,
AT1G13270,ATSBT3.18,,
AT1G17220,UNE17,,
AT3G07740,atENP1,,
AT1G01760,ENP1,,
AT5G05840,PUT2,,
AT4G02510,ATB5-B,,
AT1G06220,ATCB5-D,,
AT5G12190,B5 #3,,
AT5G01810,CB5-D,,
AT5G06660,CYTB5-B,,
AT5G03280,ATMBD11,,
AT1G12050,MBD11,,
AT1G29310,BPS2,,
AT2G43140,EDA17,,
AT5G52780,HTH,,
AT3G46320,ATCPISCA,,
AT1G55970,CPISCA,,
AT5G60900,AtXTH13,,
AT5G61840,XTH13,,
AT4G17250,ATPI,,
AT2G37270,ANN5,,
AT2G25900,ANNAT5,,
AT2G25620,BETA-UP,,
AT3G60280,PYD3,,
AT2G39840,SNOR111,,
AT1G09560,ORP1B,,
AT2G35810,CYP71B22,,
AT1G54000,JAG,,
AT4G21460,MAPKKK18,,
AT5G65020,JMJ22,,
AT3G05930,ATPIN3,,
AT1G08500,PIN3,,
AT2G18730,UGT71C5,,
AT5G61500,CYP721A1,,
AT1G51070,ATLEUD1,,
AT5G62880,IPMI2,,
AT5G62550,emb2410,,
AT5G02160,SADHU7-1,,
AT3G51480,ATPRP40C,,
AT2G34780,PRP40C,,
AT2G20900,ATGLR3.5,,
AT1G43890,GLR3.5,,
AT4G37790,GLR6,,
AT5G64730,AtCDC20.4,,
AT2G32370,CDC20.4,,
AT2G32680,ATFLS3,,
AT3G57660,FLS3,,
AT3G21790,NRT1.5,,
AT5G44710,AtBRN1,,
AT1G64142,AtRBP-DR1,,
AT3G44530,BRN1,,
AT1G43620,RBP-DR1,,
AT3G60130,AHB2,,
AT3G14000,ARATH GLB2,,
AT4G34440,ATGLB2,,
AT5G13560,GLB2,,
AT4G34110,HB2,,
AT4G25110,NSHB2,,
AT4G34230,FBW2,,
AT1G13900,LGO,,
AT5G17560,SMR1,,
AT1G50310,ATSUC5,,
AT3G06820,SUC5,,
AT3G56640,OHP,,
AT1G65360,PDE335,,
AT4G21600,ATL9,,
AT3G49570,GolS10,,
AT1G06730,AtbZIP44,,
AT3G14080,bZIP44,,
AT2G29090,LHB1B2,,
AT3G52940,LHCB1.5,,
AT4G13400,ATREV1,,
AT5G43940,REV1,,
AT1G07170,ASG2,,
AT1G75680,TRM17,,
AT2G29540,ALT2,,
AT5G53320,AtDSE1,,
AT1G23800,DSE1,,
AT2G01290,EMB2757,,
AT3G01440,TAN,,
AT1G69810,ADPG2,,
AT5G55940,PGAZAT,,
AT1G79210,RIC2,,
AT1G50460,AGL36,,
AT2G42540,ADK1,,
AT4G17230,PDH-E1 BETA,,
AT3G06790,MIR447B,,
AT2G21050,ULT,,
AT3G18750,ULT1,,
AT5G38770,LYK3,,
AT3G12700,CYP712A2,,
AT2G33080,ATMYA2,,
AT2G38050,MYA2,,
AT2G30260,XI-2,,
AT3G10560,XI-6,,
AT5G54090,BFT,,
AT3G14660,BRH1,,
AT1G75530,NIP2;1,,
AT1G15080,NLM4,,
AT5G15190,GRD,,
AT2G31020,RKD4,,
AT4G32830,ATEHD2,,
AT2G27900,EHD2,,
AT3G02230,AIT1,,
AT5G08690,ATNRT1:2,,
AT4G28770,NRT1.2,,
AT1G52720,NRT1:2,,
AT1G74480,NTL1,,
AT4G24640,ASP4,,
AT2G38230,VCR,,
AT1G78430,TPR15,,
AT3G28460,AtcPT1,,
AT3G53540,cPT1,,
AT2G29190,PP2A-3,,
AT1G24340,PPD1,,
AT5G12210,TIFY4A,,
AT5G19290,ARD1,,
AT4G39540,ATARD1,,
AT4G35790,SGB3,,
AT4G35240,ALIS1,,
AT5G62080,MET18,,
AT2G27140,MIF1,,
AT5G15770,LST8-1,,
AT5G10870,MLP34,,
AT3G04320,IDL4,,
AT5G18470,BTR1,,
ATCG00530,BTR1L,,
AT1G35860,BTR1S,,
AT5G16850,MED21,,
AT4G32210,ATPUB29,,
AT2G18220,PUB29,,
AT5G22750,APD3,,
AT5G41960,CYP705A2,,
AT1G18650,SDH3-1,,
AT4G10180,EMB2785,,
AT1G26270,ATGSTT3,,
AT2G24100,GST10C,,
AT5G44930,GSTT3,,
AT2G24103,CRR23,,
AT3G19390,NdhL,,
AT5G43270,ATRAB-E1D,,
AT4G17785,ATRAB8C,,
AT2G11000,ATRABE1D,,
AT5G01840,RAB-E1D,,
AT5G39600,RAB8C,,
AT2G31870,ATRHM1,,
AT2G29990,RHM1,,
AT5G36880,ROL1,,
AT4G08850,CKL13,,
AT2G14045,EMB1895,,
AT2G24150,ATNDT2,,
AT5G52900,NDT2,,
AT5G48430,PUX1,,
AT1G08880,GrxC5,,
AT1G01820,LysoPL2,,
AT1G08550,AAE7,,
AT1G72930,ACN1,,
AT1G72500,ATPLC5,,
AT1G24160,PLC5,,
AT2G29440,ABCB18,,
AT2G45010,PGP18,,
AT1G15550,GAD3,,
AT1G60260,AIG2,,
AT4G01535,Aug-05,,
AT5G37740,CYP96A11,,
AT5G62140,KAPP,,
AT4G02235,RAG1,,
AT4G00660,ATGRX2,,
AT1G02730,AtGRXS16,,
AT5G40000,CXIP2,,
AT4G10320,ArathEULS3,,
AT5G36160,EULS3,,
AT4G10450,PAP85,,
AT1G14687,ABCF2,,
AT1G14686,ACS2,,
AT1G14685,AT-ACC2,,
ATCG00540,ATSYP112,,
AT3G19570,SYP112,,
AT3G16620,APRL7,,
AT4G24230,ATAPRL7,,
AT4G19750,ATSZF1,,
AT2G05100,SZF1,,
AT5G42710,SP1L3,,
AT1G66730,CYP71B38,,
AT3G07040,UBC17,,
AT1G66040,AtMYB97,,
AT3G14130,MYB97,,
AT5G08550,ATPMEI2,,
AT5G54950,PMEI2,,
AT3G11930,VFB1,,
AT2G45270,ORRM1,,
AT1G32340,ATRBP47C',,
AT2G24220,RBP47C',,
AT1G19300,XCP2,,
AT1G19870,ARL1,,
AT1G50890,PP1-AT,,
AT1G08770,TOPP1,,
AT3G52370,SQS2,,
AT2G39010,ARCK1,,
AT3G22170,CRK45,,
AT1G19650,HUA2,,
AT3G23220,GCS1,,
AT2G21750,HAP2,,
AT1G02840,ATNTRB,,
AT2G47940,NTR1,,
AT1G75990,NTRB,,
AT1G34550,ATR4,,
AT2G19170,CYP83B1,,
ATMG01200,RED1,,
AT4G35930,RNT1,,
AT2G41240,SUR2,,
AT5G08180,MIR166,,
AT5G27700,MIR166G,,
AT3G25680,ANAC062,,
AT5G24870,NAC062,,
AT1G09590,NTL6,,
AT3G21770,NTRC,,
AT5G17870,iqd8,,
AT4G17570,PGY1,,
AT3G07770,MCC1,,
AT5G63020,TAF14,,
AT5G67070,YAF9b,,
AT3G49060,DTA2,,
AT2G44540,PYL13,,
AT2G44270,RCAR7,,
AT3G57890,BKI1,,
AT4G31540,AtTLP3,,
AT1G11310,TLP3,,
AT2G23370,CRR1,,
AT5G20810,ATCSLD3,,
AT3G46840,CSLD3,,
AT2G22420,KJK,,
AT5G60220,RHD7,,
AT2G25430,BLH7,,
AT3G46660,CRK18,,
AT5G64250,TOM20-4,,
AT5G61770,AtSAP130b,,
AT5G10470,SAP130b,,
AT2G29890,LCR43,,
AT3G08630,TBL23,,
AT5G42780,CER6,,
AT2G19310,CUT1,,
AT3G54510,G2,,
AT1G54760,KCS6,,
AT2G45900,POP1,,
AT4G11320,ATXIC,,
AT1G27630,XIC,,
AT3G05010,PTB3,,
AT5G47280,ATATE2,,
AT3G59140,ATE2,,
AT5G40212,KCBP,,
AT3G18110,PKCBP,,
AT5G47080,ZWI,,
AT4G30074,ATSFGH,,
AT3G22790,SFGH,,
AT4G27450,TRM20,,
AT2G03620,ATCPK4,,
AT3G51330,CPK4,,
AT5G22780,ATB ALPHA,,
AT1G32470,B ALPHA,,
AT1G69620,GER2,,
AT1G62630,ANAC092,,
AT3G26080,ATNAC2,,
AT1G77590,ATNAC6,,
AT1G32160,NAC2,,
AT3G26085,NAC6,,
AT4G25340,ORE1,,
AT4G18980,MAB1,,
AT5G60040,ADPG1,,
AT5G41970,DD11,,
AT3G60630,ASY2,,
AT1G25988,BHLH039,,
AT1G27320,bHLH39,,
AT2G40220,ORG3,,
AT5G05780,ATMYBL2,,
AT4G21850,MYBL2,,
AT5G40330,AGL19,,
AT1G66950,GL19,,
AT3G08980,ATFKBP13,,
AT4G19050,FKBP13,,
AT5G17290,Prx37,,
AT2G15020,RUL1,,
