Gene,Protein,Location,Methodology
AT1G62340,APG9,,
AT4G27260,ATAPG9,,
AT5G39635,CYP71B10,,
AT1G77240,ATEXP6,,
AT1G77710,ATEXPA6,,
AT1G12800,ATHEXP ALPHA 1.8,,
AT1G18980,EXPA6,,
AT5G45010,ATPLMT,,
AT5G55130,PLMT,,
AT4G09820,AOP2-Cvi,,
AT1G48910,RHC2A,,
AT1G47630,PMD1,,
AT1G17455,XK-1,,
AT3G24515,XK1,,
AT3G18230,TRZ3,,
AT4G30996,ASD,,
AT1G71710,ATA1,,
AT1G28450,TA1,,
AT1G09240,bZIP19,,
AT1G48520,ORF119,,
AT3G49845,ARK2,,
AT1G22310,AtKINUb,,
AT4G16220,ATHDA8,,
AT5G32450,HDA08,,
AT2G27000,HDA8,,
AT1G65470,YAB2,,
AT1G59990,IQD3,,
AT1G55740,MEE15,,
AT3G29200,VTC4,,
AT5G67480,ATWEE1,,
AT2G40900,WEE1,,
AT1G29850,ILR1,,
AT1G65480,ATCYS-3A,,
AT5G65630,CYTACS1,,
AT3G53240,OASA1,,
AT5G61440,OLD3,,
AT1G65590,HOS10,,
AT4G28210,MYB8,,
AT4G24540,ATPROT2,,
AT5G60870,PROT2,,
AT2G33030,CYCB2;1,,
AT2G46255,SPO11-2,,
AT5G44250,ATLDA,,
AT1G67730,ATPU1,,
AT5G42500,LDA,,
AT4G16580,PU1,,
AT1G64170,MAPKKK10,,
AT3G14690,MEKK3,,
AT4G22910,PHYE,,
AT2G16360,TH-1,,
AT1G35850,TH1,,
AT3G54900,THIE,,
AT1G29910,SHA1,,
AT4G37760,PGY2,,
AT3G61150,TRNL.3,,
AT4G26210,UBC13,,
AT4G29290,RST1,,
AT3G44290,ATHSFA2,,
AT3G21850,HSFA2,,
AT1G63430,At-RS2Z,,
AT3G05420,RS2Z32,,
AT1G31220,RSZ32,,
AT5G44290,RGXT1,,
AT5G48240,ATRX,,
AT1G76020,CHR20,,
AT4G04930,AGL63,,
AT4G21070,GOA,,
AT4G34450,ML3,,
AT4G12340,TPL,,
AT4G12830,WSIP1,,
AT3G53020,GAMMA CA1,,
AT1G10400,ATUBC1,,
AT1G30570,UBC1,,
AT2G26660,UBC1,,
AT2G25570,RPOA,,
AT5G54510,JAL34,,
AT3G20320,PnsL2,,
AT3G25130,PQL1,,
